Zákazník,Datum,Produkt (produkty)
customer-21250,2023-11-19 13:57:45,"1× book-015, 1× book-059, 1× book-023"
customer-21252,2023-11-19 12:50:34,1× book-006
customer-13888,2023-11-19 11:53:48,1× book-039
customer-3753,2023-11-19 11:24:58,"1× book-042, 1× book-042, 1× book-042"
customer-21255,2023-11-19 11:08:44,"1× book-023, 1× book-023, 1× book-023, 1× book-073, 1× book-073, 1× book-073"
customer-20362,2023-11-19 10:27:50,1× merch-009
customer-21256,2023-11-19 09:00:37,1× book-021
customer-9193,2023-11-19 07:52:13,1× book-057
customer-21258,2023-11-19 01:11:55,"1× book-000, 1× book-000, 1× book-000"
customer-21259,2023-11-18 23:24:13,1× book-042
customer-21260,2023-11-18 21:34:22,1× book-021
customer-9798,2023-11-18 21:08:14,1× book-008
customer-21262,2023-11-18 20:35:30,"1× book-081, 1× book-081, 1× book-081"
customer-11873,2023-11-18 19:34:55,"1× book-042, 1× book-137"
customer-21264,2023-11-18 19:07:39,1× book-081
customer-21266,2023-11-18 18:33:33,"1× book-065, 1× book-065, 1× book-065"
customer-21267,2023-11-18 17:32:14,1× book-042
customer-3589,2023-11-18 17:05:09,1× book-072
customer-18514,2023-11-18 16:45:48,"1× book-064, 1× book-078, 1× book-080"
customer-21269,2023-11-18 16:39:53,"1× book-042, 1× book-047"
customer-762,2023-11-18 15:41:10,"1× book-021, 1× book-021, 1× book-021, 1× book-047, 1× book-042, 1× book-051, 1× book-051, 1× book-051, 1× book-004, 1× book-004, 1× book-004"
customer-21271,2023-11-18 15:09:52,"1× book-021, 2× book-042"
customer-18517,2023-11-18 13:56:15,1× book-021
customer-21272,2023-11-18 13:34:01,1× book-098
customer-21273,2023-11-18 11:02:05,1× book-021
customer-8376,2023-11-18 10:30:23,"1× book-061, 1× book-061, 1× book-061"
customer-21276,2023-11-18 08:30:44,1× book-021
customer-21277,2023-11-18 07:30:04,"1× book-021, 1× book-021, 1× book-021"
customer-3628,2023-11-18 06:20:46,"1× book-042, 1× book-021, 1× book-001"
customer-4742,2023-11-17 23:09:47,"1× book-042, 1× book-042, 1× book-042, 2× book-042"
customer-4472,2023-11-17 21:48:19,"1× book-042, 1× book-023, 1× book-023, 1× book-023, 2× book-059"
