observation_date,MSPUS_MEHOINUSA646N
1984-01-01,3.56601
1985-01-01,3.56795
1986-01-01,3.69578
1987-01-01,4.01765
1988-01-01,4.12137
1989-01-01,4.16551
1990-01-01,4.08484
1991-01-01,3.98191
1992-01-01,3.96133
1993-01-01,4.04930
1994-01-01,4.04293
1995-01-01,3.91652
1996-01-01,3.95182
1997-01-01,3.91786
1998-01-01,3.90653
1999-01-01,3.93428
2000-01-01,3.99024
2001-01-01,4.09898
2002-01-01,4.38635
2003-01-01,4.43502
2004-01-01,4.92105
2005-01-01,5.10576
2006-01-01,5.05705
2007-01-01,4.87657
2008-01-01,4.56362
2009-01-01,4.33206
2010-01-01,4.51907
2011-01-01,4.49351
2012-01-01,4.79028
2013-01-01,4.96781
2014-01-01,5.32566
2015-01-01,5.20435
2016-01-01,5.16811
2017-01-01,5.27355
2018-01-01,5.14839
2019-01-01,4.66157
2020-01-01,4.82503
2021-01-01,5.41113
2022-01-01,5.80518
2023-01-01,5.29122
2024-01-01,5.00388
