Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,age70plus,3860255,3964197,1004870,161275,471603,473268,23383,341720,1488078,103943,41518,36498,25927
1989:Q3,age55to69,7587222,8015961,1902011,463509,753803,1700516,323248,1016071,1856803,428739,292769,91039,44931
1989:Q3,age40to54,6539534,7781766,2473161,673054,643636,1092225,519631,1128801,1251258,1242232,872870,300369,68993
1989:Q3,ageunder40,2452980,3830840,1513126,598342,221402,216322,147761,483030,650856,1377860,1003997,356301,17562
1989:Q4,age70plus,3984159,4086326,1051144,172146,477456,485912,23430,353385,1522853,102167,39786,37263,25118
1989:Q4,age55to69,7731955,8183765,1943688,467087,790000,1729612,337801,1031248,1884329,451810,306708,99589,45513
1989:Q4,age40to54,6617662,7886536,2467049,673413,659089,1133003,541940,1129742,1282301,1268873,895260,304191,69422
1989:Q4,ageunder40,2484206,3888900,1532437,612938,225559,218540,153065,482451,663910,1404694,1018827,368241,17626
1990:Q1,age70plus,3994311,4095117,1049867,183358,430806,496090,21443,363304,1550248,100806,40916,34506,25384
1990:Q1,age55to69,7749697,8222673,1949264,480412,757779,1750847,340368,1042910,1901093,472976,325758,98683,48535
1990:Q1,age40to54,6656254,7949298,2477836,683477,634190,1171311,551404,1130152,1300929,1293044,928081,294551,70412
1990:Q1,ageunder40,2467730,3891290,1536017,619737,210736,219693,154126,480028,670954,1423560,1040644,364580,18336
1990:Q2,age70plus,4093782,4195108,1087981,193759,438861,507279,20384,375762,1571082,101326,42728,33881,24717
1990:Q2,age55to69,7863126,8356047,1988500,482057,797946,1773741,351820,1057501,1904481,492920,340816,102606,49498
1990:Q2,age40to54,6715219,8036785,2465853,683656,653694,1212362,569324,1132943,1318953,1321566,957869,293108,70589
1990:Q2,ageunder40,2477960,3919761,1542827,632915,215937,221226,157137,479343,670375,1441800,1054505,369117,18178
1990:Q3,age70plus,4049451,4147326,1091399,199821,328557,516629,16704,389158,1605058,97875,42066,33687,22122
1990:Q3,age55to69,7803205,8312315,2006218,491836,677947,1790650,342446,1072597,1930621,509110,354070,108274,46766
1990:Q3,age40to54,6736956,8084500,2506495,693189,576759,1251988,568827,1136909,1350333,1347543,983803,293932,69808
1990:Q3,ageunder40,2438778,3899604,1558615,631308,177731,221972,155090,479032,675856,1460826,1067326,376409,17091
1990:Q4,age70plus,4181098,4274635,1091768,207142,373728,526644,16701,398714,1659937,93537,37910,33113,22514
1990:Q4,age55to69,7951519,8480970,1994467,498153,770783,1808374,357392,1081310,1970491,529451,366009,113829,49613
1990:Q4,age40to54,6890604,8260981,2503632,699931,630582,1293925,594748,1138967,1399197,1370377,1005376,294079,70922
1990:Q4,ageunder40,2449266,3930704,1556529,633816,197119,222959,160793,475240,684248,1481438,1080517,383371,17550
1991:Q1,age70plus,4325347,4411548,1113448,218506,449451,536530,17562,400994,1675057,86200,34379,29740,22081
1991:Q1,age55to69,8103963,8643661,1999029,500997,904041,1824828,375553,1078974,1960239,539698,376852,111517,51329
1991:Q1,age40to54,7032801,8415844,2483618,703065,706976,1337025,626122,1137120,1421918,1383043,1027452,283481,72110
1991:Q1,ageunder40,2486688,3973426,1551307,645216,226946,223864,168306,465325,692461,1486738,1091008,377470,18260
1991:Q2,age70plus,4352260,4437390,1132338,224954,430387,547062,16073,407029,1679546,85130,35596,28361,21173
1991:Q2,age55to69,8118726,8674889,2017094,503418,910435,1842091,381354,1081525,1938972,556162,390912,113594,51656
1991:Q2,age40to54,7097307,8509523,2497636,707710,709242,1382450,643652,1138267,1430566,1412216,1059899,280306,72011
1991:Q2,ageunder40,2457392,3958212,1555744,647615,222752,224998,171063,458164,677875,1500819,1104244,379044,17531
1991:Q3,age70plus,4406824,4497275,1130608,230307,460303,557278,16060,410088,1692631,90452,39743,27641,23068
1991:Q3,age55to69,8220700,8788222,2031332,511365,982479,1857680,395152,1079451,1930764,567523,394731,115455,57337
1991:Q3,age40to54,7260633,8696713,2542359,718492,750083,1428796,671086,1138210,1447686,1436079,1083872,278714,73493
1991:Q3,ageunder40,2476220,3971298,1566091,643310,235887,225976,176777,448406,674851,1495078,1096157,380689,18232
1991:Q4,age70plus,4574831,4670288,1148939,236429,571649,567620,16702,408915,1720034,95457,42580,27563,25314
1991:Q4,age55to69,8411565,9001316,2045212,512891,1159124,1872813,412714,1071206,1927356,589751,405679,120356,63716
1991:Q4,age40to54,7455238,8927640,2561635,723588,849975,1476724,703268,1136240,1476210,1472401,1116457,280556,75388
1991:Q4,ageunder40,2512207,4021827,1574799,644539,276616,226976,183674,435132,680090,1509620,1103164,387105,19351
1992:Q1,age70plus,4574198,4674231,1181200,244618,538995,583220,13783,410442,1701973,100033,51522,25065,23446
1992:Q1,age55to69,8405921,8996199,2066475,511061,1150300,1900653,409681,1066483,1891546,590278,411022,116645,62611
1992:Q1,age40to54,7497692,8995234,2566062,725390,846313,1533894,713990,1136423,1473162,1497543,1149650,271870,76023
1992:Q1,ageunder40,2490339,3985514,1580809,651134,268078,230009,183974,423759,647751,1495175,1096082,379773,19320
1992:Q2,age70plus,4607147,4713630,1207622,254101,524169,604165,12221,414160,1697192,106484,57837,24164,24483
1992:Q2,age55to69,8416560,9016314,2083797,512142,1164714,1927883,415822,1064514,1847442,599754,415179,117863,66712
1992:Q2,age40to54,7575149,9101904,2574323,730025,856271,1589506,734687,1138332,1478760,1526756,1179308,269847,77601
1992:Q2,ageunder40,2491773,3981223,1582312,656952,265689,232980,186836,413840,642614,1489450,1088919,380457,20074
1992:Q3,age70plus,4675722,4781251,1211441,258597,546408,624916,11887,422506,1705497,105529,58237,23509,23783
1992:Q3,age55to69,8521471,9137261,2106853,520978,1226680,1953635,428085,1068483,1832547,615789,426185,122201,67403
1992:Q3,age40to54,7766736,9328102,2633357,744103,893691,1646127,763214,1143212,1504398,1561366,1212560,270429,78377
1992:Q3,ageunder40,2507960,4012500,1612338,648046,275797,235803,191956,407180,641380,1504540,1098896,385794,19850
1992:Q4,age70plus,4813236,4921849,1217815,262917,658909,643215,13884,421361,1703748,108613,62124,23429,23060
1992:Q4,age55to69,8719040,9342867,2116490,527308,1352043,2003636,445958,1059329,1838103,623827,432226,122358,69243
1992:Q4,age40to54,7996290,9599068,2697997,752399,998398,1677782,785246,1158310,1528937,1602778,1241616,282331,78831
1992:Q4,ageunder40,2544881,4066239,1619901,650844,302994,247585,203461,391278,650176,1521358,1104937,396651,19770
