Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,College,11361265,3757361,2960829,796532,7603904,1245096,228216,640674,524458,116215,157552,95791,61761,1399547,187955,150984,410625,1469578,1619435,94241,1427667,1419385,1050193,274658,2564,91971,8281,9933598,21613571
1989:Q3,SomeCollege,4677593,1914251,1490725,423526,2763342,616306,50712,239244,196613,42631,34696,20445,14252,336677,67644,65408,108499,658009,537611,48533,755987,752968,539019,192197,848,20904,3019,3921606,18948257
1989:Q3,HS,4925198,2010932,1528054,482878,2914266,677153,73810,138557,129161,9396,73014,46158,26857,266028,72813,74962,105767,843199,533274,55688,715882,712628,463003,228662,787,20178,3254,4209316,29893093
1989:Q3,NoHS,2628708,1106805,913561,193244,1521903,417913,9904,28004,23690,4314,28603,6468,22135,88192,31779,37476,60299,511544,279301,28887,253238,251817,158941,88690,334,3852,1421,2375470,22565181
1989:Q4,College,11861234,3920488,3092534,827954,7940747,1302594,243884,664165,541531,122634,172871,109120,63751,1451405,196250,159849,440540,1543052,1667279,98857,1497480,1488652,1098482,294878,2535,92758,8828,10363754,22566796
1989:Q4,SomeCollege,4702677,1912098,1488077,424022,2790579,611274,52499,231897,189666,42231,40405,23443,16962,343570,69485,67031,110445,676287,538603,49084,759421,756349,540594,194294,794,20667,3072,3943256,19003672
1989:Q4,HS,4918309,2005972,1531785,474187,2912337,675644,70671,132796,122857,9939,73264,47305,25959,269521,74725,77941,107921,851431,522678,55745,719701,716353,464996,231194,740,19423,3348,4198608,29517842
1989:Q4,NoHS,2563305,1081342,881921,199421,1481963,410536,10183,29082,24742,4339,27963,6795,21168,87608,31171,36219,56289,496297,268266,28350,250941,249540,156510,88920,321,3789,1401,2312364,22173928
1990:Q1,College,12128097,4051695,3182475,869221,8076402,1329730,267779,672457,551203,121255,201251,135630,65621,1371952,200725,168203,450266,1605057,1704424,104558,1568114,1559447,1157986,301501,3203,96756,8667,10559984,23397817
1990:Q1,SomeCollege,4691803,1906822,1479826,426996,2784981,600938,56005,220647,181535,39112,48114,28270,19844,327816,70874,68828,107026,693735,540542,50455,764001,760963,550112,188720,947,21184,3038,3927802,19090250
1990:Q1,HS,4856749,1977007,1502396,474611,2879741,668505,69070,125903,116259,9644,73981,48819,25162,251538,75927,81025,105376,857961,513334,57121,713969,710704,471813,218985,914,18992,3265,4142780,29203955
1990:Q1,NoHS,2481729,1044442,848287,196155,1437286,401298,10805,30258,26110,4148,27897,7474,20423,82205,30468,35084,51532,481188,258094,28455,244303,242978,155488,83114,394,3982,1326,2237425,21811747
1990:Q2,College,12477528,4161985,3269611,892374,8315543,1353136,260776,707957,581000,126957,206438,139592,66845,1424030,205669,180978,463931,1663805,1741553,107270,1631141,1622426,1208192,313320,2636,98278,8715,10846387,24112998
1990:Q2,SomeCollege,4737131,1912000,1482676,429325,2825131,592949,54384,220667,181795,38872,53533,30712,22821,340067,72786,73706,105545,714306,546456,50733,771332,768280,558187,187956,754,21383,3052,3965799,19205981
1990:Q2,HS,4863035,1975221,1507185,468036,2887813,664350,63483,124474,114182,10292,73027,48579,24448,259470,77713,87636,104678,868431,508004,56548,714939,711675,476091,216314,720,18550,3264,4148096,28948475
1990:Q2,NoHS,2430006,1028343,825691,202652,1401664,393526,10312,30723,26513,4210,26890,7451,19440,82872,29953,34848,47342,468067,249536,27594,240200,238921,153448,81121,324,4027,1279,2189806,21477383
1990:Q3,College,12533778,4288231,3366381,921850,8245548,1377807,280955,744268,615731,128537,214254,146384,67870,1175517,208916,184775,459827,1712919,1775438,110872,1679700,1671003,1248197,326699,1151,94957,8697,10854078,24718704
1990:Q3,SomeCollege,4739516,1926066,1494659,431407,2813450,588193,57791,221525,184224,37302,59875,33884,25991,296431,74711,73726,99756,734769,554963,51710,778669,775597,565457,188956,326,20858,3072,3960847,19348854
1990:Q3,HS,4814700,1966318,1498858,467460,2848381,664239,61972,123782,113237,10545,72326,48522,23804,217077,79433,88504,100381,878323,505250,57096,719648,716381,481639,216454,296,17992,3267,4095051,28748446
1990:Q3,NoHS,2355750,998265,802828,195437,1357485,387538,10864,30898,26725,4173,26103,7530,18572,71968,29470,33332,42767,455229,242047,27270,237336,236102,151974,80193,145,3790,1235,2118413,21169583
1990:Q4,College,12968046,4350962,3406038,944924,8617083,1414852,288552,800371,651468,148902,233742,165311,68431,1319084,211785,191770,489039,1758572,1795265,114050,1724991,1715976,1277246,339197,1292,98241,9015,11243055,25221298
1990:Q4,SomeCollege,4831622,1924336,1489692,434644,2907286,589079,59321,229517,187285,42233,68146,38825,29321,331206,76925,76095,103769,757920,562543,52765,787070,783918,571869,190078,353,21618,3152,4044552,19516859
1990:Q4,HS,4849641,1948591,1482283,466308,2901050,670889,59129,125862,112595,13267,71375,48155,23219,244498,81453,92082,104736,891513,501804,57709,726946,723572,489300,216101,328,17843,3374,4122695,28600911
1990:Q4,NoHS,2297981,961549,768384,193165,1336432,384209,11003,31615,26921,4694,25472,7875,17597,77423,29086,32491,39652,443896,234619,26964,235796,234573,151396,79016,163,3998,1222,2062185,20887094
1991:Q1,College,13354058,4396292,3433384,962908,8957765,1429048,326682,781218,623272,157947,237720,169649,68070,1535617,214191,195582,529328,1799157,1793456,115767,1752474,1743587,1302627,339189,2267,99505,8887,11601584,25627147
1991:Q1,SomeCollege,4921733,1927883,1487543,440340,2993850,586253,66228,214160,170925,43235,75395,42666,32729,381091,79390,77078,111231,782842,566750,53431,790121,786937,579255,184963,589,22131,3184,4131611,19707986
1991:Q1,HS,4908062,1950417,1485012,465405,2957645,674101,59750,118041,103280,14761,70622,47917,22705,285339,83733,94065,112086,906726,495545,57638,723365,719980,497116,204596,587,17681,3385,4184697,28502916
1991:Q1,NoHS,2260626,940594,741464,199131,1320031,379818,12210,35095,30192,4903,24078,7919,16160,85367,28784,31346,36828,433523,226662,26321,229719,228537,150694,73459,286,4098,1182,2030907,20628660
1991:Q2,College,13447072,4458584,3482540,976044,8988488,1402782,312192,813158,647138,166020,234074,166251,67824,1513153,217425,200801,544443,1836785,1796286,117390,1794633,1785963,1340237,344658,685,100383,8670,11652440,25942614
1991:Q2,SomeCollege,4987933,1948430,1503975,444455,3039503,575300,64652,215288,171401,43888,82687,46255,36432,387716,82374,79302,112197,810374,575315,54299,803324,800108,593166,184085,179,22679,3215,4184610,19920225
1991:Q2,HS,4930035,1955699,1491632,464068,2974336,669140,55084,118178,101874,16304,70381,48165,22216,287154,86611,97482,114037,925066,493341,57861,729593,726203,507034,201425,169,17576,3389,4200442,28451504
1991:Q2,NoHS,2214973,923796,724665,199131,1291177,372797,11688,36279,31174,5105,22893,7858,15035,84794,28619,30546,33332,424377,220045,25807,226778,225637,150215,71139,91,4192,1141,1988194,20393029
1991:Q3,College,13691059,4527708,3533472,994236,9163350,1392246,310285,836023,678191,157831,240889,174219,66669,1610352,217550,204920,574577,1869372,1788396,118741,1825250,1816819,1359384,348853,564,108019,8431,11865808,26174064
1991:Q3,SomeCollege,5096790,1975093,1525930,449163,3121697,570090,65426,213197,174140,39057,91920,51692,40229,418958,85001,81307,117729,839412,583383,55274,812068,808814,600549,183619,143,24502,3254,4284723,20151565
1991:Q3,HS,4990893,1966457,1499189,467268,3024436,671282,51986,117174,101503,15671,69471,47685,21786,310762,89006,100680,119945,945060,490845,58225,729869,726465,508107,200432,139,17787,3404,4261024,28443719
1991:Q3,NoHS,2174767,904607,711798,192809,1270160,368465,11636,36867,31966,4901,21456,8011,13445,88680,28376,29726,30190,415886,213531,25348,221945,220842,146463,69596,77,4706,1103,1952822,20178947
1991:Q4,College,14117052,4573244,3571006,1002238,9543809,1395977,313271,849883,692597,157286,258924,194948,63976,1901758,218618,209056,610223,1898211,1767371,120516,1871995,1863757,1389438,357113,1087,116119,8238,12245058,26327862
1991:Q4,SomeCollege,5250782,1999081,1544693,454388,3251701,569945,67280,209012,172249,36762,103036,59063,43974,488240,88144,83721,125270,870420,589984,56649,831254,827946,615405,185766,264,26510,3308,4419527,20399996
1991:Q4,HS,5105742,1987609,1520055,467553,3118133,679847,49562,115464,99230,16234,66964,45513,21451,368543,92009,104378,127608,967326,487239,59194,742549,739106,517553,203240,276,18037,3443,4363193,28476605
1991:Q4,NoHS,2147494,888099,694831,193268,1259395,366478,11785,38471,33544,4927,19248,8325,10923,98823,28258,29026,27076,408177,206899,25154,221431,220358,145484,69462,153,5259,1073,1926063,19985160
1992:Q1,College,14046280,4601947,3597083,1004864,9444333,1304928,330467,878385,714102,164283,237578,176371,61208,1841496,219399,211167,613531,1935808,1749501,122073,1890708,1882631,1416598,351363,1274,113397,8077,12155572,26410373
1992:Q1,SomeCollege,5328185,2025448,1564513,460935,3302738,547264,71838,209211,172453,36757,111360,63386,47974,494840,91520,85333,124151,909199,599893,58130,840631,837255,629238,180984,297,26736,3376,4487554,20663508
1992:Q1,HS,5162802,2018834,1551606,467228,3143968,664540,48517,115981,97904,18077,68576,47443,21132,369309,95276,107237,128391,999278,486565,60298,738045,734541,520591,195635,331,17984,3504,4424757,28547205
1992:Q1,NoHS,2113911,880521,681344,199177,1233390,356636,12430,40137,34959,5178,16694,8164,8530,98041,28193,28177,23440,403490,201147,25004,213644,212596,141850,65371,187,5188,1049,1900267,19810414
1992:Q2,College,14028986,4622931,3612483,1010448,9406055,1280812,316157,869816,702566,167249,236023,177862,58161,1822534,217990,215425,627482,1962459,1733732,123624,1915507,1907578,1435247,352643,1626,118063,7929,12113478,26427961
1992:Q2,SomeCollege,5434265,2057627,1588855,468772,3376638,542352,71190,199185,163953,35232,122806,70623,52183,510892,94676,88570,126365,948121,612679,59803,854721,851267,642124,180426,359,28358,3454,4579544,20940091
1992:Q2,HS,5243841,2046281,1576165,470116,3197560,669708,44838,112794,93286,19508,67850,47017,20834,378571,98264,111967,132113,1031431,488351,61674,742595,739015,525073,195292,438,18213,3580,4501247,28652564
1992:Q2,NoHS,2105980,874435,670550,203885,1231545,353874,12097,43072,37723,5349,14362,8273,6089,98846,28083,27691,19955,412524,196084,24958,209620,208592,138800,63971,251,5571,1028,1896360,19653456
1992:Q3,College,14184064,4673457,3650352,1023105,9510607,1267696,309399,888274,727089,161186,228050,173161,54889,1890113,219458,218578,653401,1985052,1725542,125044,1942088,1934289,1456501,358408,965,118415,7799,12241976,26386991
1992:Q3,SomeCollege,5599051,2107178,1632020,475158,3491873,541063,72010,195532,164986,30546,134953,78347,56607,545542,98765,91512,132409,988469,630015,61601,875584,872043,660108,182417,207,29311,3541,4723466,21227734
1992:Q3,HS,5373885,2087647,1610021,477626,3286238,679900,41933,112092,92481,19611,67783,47239,20544,404360,102377,116440,139110,1065137,493886,63220,759728,756056,539885,197558,261,18353,3672,4614157,28789726
1992:Q3,NoHS,2102114,867429,671595,195834,1234685,352891,12039,44657,39349,5309,11955,8338,3616,102562,28165,27154,16537,421822,191938,24966,209824,208814,139385,63551,161,5717,1011,1892290,19513032
1992:Q4,College,14529060,4698858,3680518,1018340,9830202,1289631,295226,883245,716268,166976,245878,192254,53623,2144063,222236,227266,662484,2016441,1717793,125940,1957662,1949877,1469007,360285,1357,119228,7785,12571399,26294400
1992:Q4,SomeCollege,5729352,2141527,1653506,488021,3587826,551781,70849,194884,164034,30849,125107,71037,54069,607264,100212,94027,142735,1011802,626525,62640,898397,894839,673393,192603,336,28508,3558,4830955,21524313
1992:Q4,HS,5535382,2135428,1644111,491318,3399954,683823,42955,117577,97517,20060,63943,42556,21387,452034,104745,123425,149611,1105939,491092,64811,785380,781672,556713,205365,391,19203,3708,4750003,28955491
