Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,College,9933598,11361265,2960829,796532,1399547,1469578,561609,1619435,2553735,1427667,1050193,274658,102816
1989:Q3,SomeCollege,3921606,4677593,1490725,423526,336677,658009,173907,537611,1057138,755987,539019,192197,24771
1989:Q3,HS,4209316,4925198,1528054,482878,266028,843199,180729,533274,1091036,715882,463003,228662,24217
1989:Q3,NoHS,2375470,2628708,913561,193244,88192,511544,97775,279301,545091,253238,158941,88690,5607
1989:Q4,College,10363754,11861234,3092534,827954,1451405,1543052,600389,1667279,2678622,1497480,1098482,294878,104120
1989:Q4,SomeCollege,3943256,4702677,1488077,424022,343570,676287,177476,538603,1054643,759421,540594,194294,24533
1989:Q4,HS,4198608,4918309,1531785,474187,269521,851431,185862,522678,1082845,719701,464996,231194,23511
1989:Q4,NoHS,2312364,2563305,881921,199421,87608,496297,92508,268266,537284,250941,156510,88920,5511
1990:Q1,College,10559984,12128097,3182475,869221,1371952,1605057,618469,1704424,2776500,1568114,1157986,301501,108627
1990:Q1,SomeCollege,3927802,4691803,1479826,426996,327816,693735,175854,540542,1047034,764001,550112,188720,25169
1990:Q1,HS,4142780,4856749,1502396,474611,251538,857961,186401,513334,1070507,713969,471813,218985,23171
1990:Q1,NoHS,2237425,2481729,848287,196155,82205,481188,86616,258094,529183,244303,155488,83114,5701
1990:Q2,College,10846387,12477528,3269611,892374,1424030,1663805,644909,1741553,2841246,1631141,1208192,313320,109629
1990:Q2,SomeCollege,3965799,4737131,1482676,429325,340067,714306,179251,546456,1045051,771332,558187,187956,25189
1990:Q2,HS,4148096,4863035,1507185,468036,259470,868431,192314,508004,1059594,714939,476091,216314,22534
1990:Q2,NoHS,2189806,2430006,825691,202652,82872,468067,82190,249536,518999,240200,153448,81121,5631
1990:Q3,College,10854078,12533778,3366381,921850,1175517,1712919,644602,1775438,2937072,1679700,1248197,326699,104804
1990:Q3,SomeCollege,3960847,4739516,1494659,431407,296431,734769,173482,554963,1053805,778669,565457,188956,24256
1990:Q3,HS,4095051,4814700,1498858,467460,217077,878323,188885,505250,1058846,719648,481639,216454,21555
1990:Q3,NoHS,2118413,2355750,802828,195437,71968,455229,76099,242047,512142,237336,151974,80193,5169
