Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,16375126,17642586,4588052,1060570,1707411,3103469,729029,2202945,4251110,1267459,831943,308962,126554
1989:Q3,BabyBoom,3987420,5819221,2260997,790285,379142,378316,283735,754594,972153,1831801,1355516,445778,30507
1989:Q3,GenX,77443,130957,44121,45325,3891,545,1257,12083,23735,53514,23697,29467,350
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,16611069,17902167,4654553,1067802,1755107,3153640,753670,2217849,4299546,1291099,848064,315460,127575
1989:Q4,BabyBoom,4116036,5991999,2291886,807622,393085,410715,300096,765470,1023125,1875962,1386789,459548,29625
1989:Q4,GenX,90877,151360,47878,50159,3913,2712,2470,13507,30721,60483,25729,34277,477
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,16652251,17962610,4643612,1091928,1706228,3202150,766474,2228063,4324155,1310359,874634,306336,129389
1990:Q1,BabyBoom,4119259,6030969,2315718,820812,327283,430858,299831,773523,1062944,1911710,1429545,449396,32769
1990:Q1,GenX,96481,164799,53654,54243,0,4934,1035,14810,36124,68318,31221,36588,509
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,16848742,18181660,4707678,1094910,1760037,3250552,782565,2242366,4343551,1332918,897609,305504,129805
1990:Q2,BabyBoom,4200497,6147489,2324577,837476,346401,456650,314994,786556,1080836,1946992,1461868,452531,32593
1990:Q2,GenX,100849,178551,52907,60001,0,7407,1105,16627,40504,77702,36440,40677,585
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,16809178,18157900,4717706,1110589,1600112,3297629,785887,2257370,4388608,1348722,913554,306668,128500
1990:Q3,BabyBoom,4104207,6084000,2383434,842325,160881,473575,296345,801569,1125871,1979793,1493502,459696,26595
1990:Q3,GenX,115005,201844,61587,63240,0,10035,836,18757,47389,86839,40210,45938,691
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,17042434,18400625,4673470,1120232,1722387,3344444,812236,2263787,4464069,1358191,921376,306641,130174
1990:Q4,BabyBoom,4293849,6315953,2400823,851001,249825,494486,316350,810005,1193464,2022104,1526586,465907,29611
1990:Q4,GenX,136203,230712,72103,67809,0,12972,1048,20438,56341,94508,41849,51843,816
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
