Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,pct99to100,3397946,3549714,535482,265880,751191,106980,106393,840175,943613,151768,99228,27117,25423
1989:Q3,pct80to99,8967262,10452052,3036663,700183,926531,1556892,613874,1424002,2193907,1484790,1149679,250302,84809
1989:Q3,pct60to80,3378296,4217051,1408279,431257,227156,847327,150341,281268,871424,838755,565700,244684,28371
1989:Q3,pct40to60,2547697,2972791,999838,250995,120511,628717,79559,247878,645293,425094,258913,159522,6659
1989:Q3,pct20to40,1559571,1748750,669590,172218,41505,238036,55754,128551,443096,189179,113386,69864,5929
1989:Q3,pct00to20,589218,652405,243317,75647,23550,104377,8103,47747,149665,63188,24249,32719,6220
1989:Q4,pct99to100,3474233,3634745,548541,269872,762027,113680,112696,858635,969295,160512,105163,27248,28101
1989:Q4,pct80to99,9129692,10639321,3084009,706426,958898,1590640,637220,1422259,2239869,1509629,1170413,257038,82178
1989:Q4,pct60to80,3448087,4304003,1427403,435954,233610,872730,162772,289615,881919,855916,577288,250780,27848
1989:Q4,pct40to60,2578732,3015306,1007769,255333,126933,632243,81061,251681,660285,436574,265095,164158,7321
1989:Q4,pct20to40,1574413,1772684,668480,177994,45894,250627,54613,125365,449710,198271,115837,76305,6129
1989:Q4,pct00to20,612825,679468,258116,80004,24742,107147,7874,49271,152315,66643,26784,33756,6103
1990:Q1,pct99to100,3446086,3615289,555907,265234,697595,119713,115435,874375,987031,169203,113558,24920,30725
1990:Q1,pct80to99,9113492,10648403,3066426,723360,911032,1616857,643510,1416904,2270315,1534911,1200355,250414,84142
1990:Q1,pct60to80,3485504,4349600,1432347,445085,225058,894313,168394,297533,886871,864096,594639,242035,27422
1990:Q1,pct40to60,2596348,3042651,1009419,267288,127518,634363,79781,254799,669484,446303,276182,161789,8332
1990:Q1,pct20to40,1599053,1801279,677998,182953,48043,263019,52527,122038,454702,202227,119706,76244,6277
1990:Q1,pct00to20,627508,701155,270889,83064,24265,109678,7696,50747,154816,73647,30960,36918,5769
1990:Q2,pct99to100,3502397,3680972,564225,268812,712183,126040,119413,894140,996158,178575,121487,24196,32892
1990:Q2,pct80to99,9232410,10790055,3109139,727984,948711,1646129,661103,1415218,2281771,1557645,1224122,251036,82487
1990:Q2,pct60to80,3545306,4420805,1444700,448821,232539,917521,178998,306333,891893,875500,607181,241522,26797
1990:Q2,pct40to60,2610906,3068466,1005977,271121,134591,637037,80747,258860,680132,457560,285155,163488,8917
1990:Q2,pct20to40,1612134,1821630,678619,188481,52811,275563,50863,118652,456641,209497,123089,80039,6369
1990:Q2,pct00to20,646937,725772,282500,87168,25603,112317,7542,52347,158295,78835,34884,38432,5519
1990:Q3,pct99to100,3397256,3583510,578819,260738,554751,131893,120078,915364,1021867,186253,127995,23720,34538
