Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,White,18461335,21048923,5993921,1643424,2011229,2980135,916532,2622251,4881430,2587588,1831010,620287,136291
1989:Q3,Black,827243,1010669,338491,110870,17098,316289,54239,38230,135452,183426,103500,78235,1691
1989:Q3,Hispanic,423193,624978,263047,67259,14711,94830,20965,56152,108014,201786,140736,46590,14460
1989:Q3,Other,728220,908194,297710,74627,47406,91075,22286,252989,122102,179974,135909,39095,4970
1989:Q4,White,18766644,21407145,6073319,1659046,2067180,3049573,950824,2634896,4972307,2640501,1866108,638342,136051
1989:Q4,Black,847517,1040154,341535,117355,18420,324869,58214,42912,136850,192637,108716,81758,2163
1989:Q4,Hispanic,438622,647367,270990,69455,15320,97777,22121,61374,110330,208745,146090,48893,13762
1989:Q4,Other,765199,950859,308473,79727,51184,94848,25076,257644,133907,185660,139668,40293,5699
1990:Q1,White,18770031,21459369,6081571,1690553,1950606,3108351,958670,2641737,5027881,2689338,1923567,625411,140360
1990:Q1,Black,862631,1058811,342456,119715,18661,332277,59345,47459,138898,196179,115608,77817,2754
1990:Q1,Hispanic,446059,660853,273432,73038,14857,99784,22495,66255,110992,214794,151844,49841,13109
1990:Q1,Other,789269,979345,315525,83677,49387,97530,26831,260944,145451,190076,144380,39251,6445
1990:Q2,White,18991876,21735420,6141124,1703861,2017721,3172627,983486,2658360,5058241,2743544,1972737,630372,140435
1990:Q2,Black,881713,1083616,342786,125990,20131,340464,62610,52439,139197,201904,120356,78353,3195
1990:Q2,Hispanic,454842,672867,276774,74236,15339,101359,23280,71213,110665,218024,155004,50815,12205
1990:Q2,Other,821657,1015797,324479,88299,53247,100158,29290,263537,156787,194140,147820,39173,7147
1990:Q3,White,18840779,21629345,6200862,1724295,1684657,3229355,969194,2678741,5142241,2788565,2013920,640925,133720
1990:Q3,Black,890183,1099022,348497,124708,18942,347867,61148,57652,140208,208839,125401,80104,3334
1990:Q3,Hispanic,460797,681396,280532,76410,13429,102134,22734,76041,110116,220599,157686,51950,10963
1990:Q3,Other,836631,1033982,332835,90741,43965,101884,29990,265262,169305,197350,150260,39323,7767
1990:Q4,White,19239230,22074097,6184509,1741909,1884439,3290058,1007494,2685959,5279729,2834867,2046337,650493,138037
1990:Q4,Black,906205,1122966,349257,125851,21409,355867,65786,62505,142291,216760,131348,81418,3994
1990:Q4,Hispanic,464279,687944,279699,77715,14527,102498,23507,80199,109799,223665,160421,53176,10068
1990:Q4,Other,862773,1062283,332931,93567,51836,103478,32847,265568,182056,199510,151705,39305,8500
1991:Q1,White,19663350,22517794,6190657,1760202,2183732,3351122,1055599,2668374,5308108,2854444,2078648,634808,140988
1991:Q1,Black,930290,1148282,347361,131881,24561,364030,71542,66587,142321,217992,136676,76792,4524
1991:Q1,Hispanic,464334,688353,275922,78251,16072,102377,24365,83318,108048,224019,161813,53135,9071
1991:Q1,Other,890825,1090048,333463,97450,63049,104718,36039,264133,191196,199223,152555,37472,9196
1991:Q2,White,19706751,22613758,6238748,1771977,2167741,3416061,1075500,2664694,5279037,2907007,2131805,635441,139761
1991:Q2,Black,947770,1171063,351420,133534,25654,372768,74221,71301,142165,223292,142131,76243,4918
1991:Q2,Hispanic,462666,686083,274830,78261,15765,101917,24423,86550,104337,223417,162447,53071,7899
1991:Q2,Other,908499,1109109,337812,99926,63656,105856,37997,262440,201422,200610,154268,36551,9791
1991:Q3,White,19989342,22938821,6297739,1791421,2315039,3480528,1114409,2651413,5288272,2949478,2162369,638304,148805
