"Date","Value"
"12/01/1945",-111361000000
"12/01/1946",-116702000000
"12/01/1947",-114078000000
"12/01/1948",-116650000000
"12/01/1949",-133392000000
"12/01/1950",-129804000000
"12/01/1951",-116178000000
"12/01/1952",-123159000000
"12/01/1953",-131276000000
"12/01/1954",-132734000000
"12/01/1955",-128466000000
"12/01/1956",-115818000000
"12/01/1957",-120324000000
"12/01/1958",-128904000000
"12/01/1959",-137398000000
"12/01/1960",-137855000000
"12/01/1961",-142639000000
"12/01/1962",-144298000000
"12/01/1963",-147026000000
"12/01/1964",-153145000000
"12/01/1965",-155108000000
"12/01/1966",-157304000000
"12/01/1967",-159421000000
"12/01/1968",-164942000000
"12/01/1969",-153350000000
"12/01/1970",-169077000000
"12/01/1971",-195531000000
"12/01/1972",-205831000000
"12/01/1973",-193827000000
"12/01/1974",-165717000000
"12/01/1975",-240462000000
"12/01/1976",-259471000000
"12/01/1977",-298437000000
"12/01/1978",-288472000000
"12/01/1979",-196094000000
"12/01/1980",-182784000000
"12/01/1981",-278262000000
"12/01/1982",-381133000000
"12/01/1983",-572675000000
"12/01/1984",-720584000000
"12/01/1985",-942232000000
"12/01/1986",-1165385000000
"12/01/1987",-1314358000000
"12/01/1988",-1488810000000
"12/01/1989",-1651650000000
"12/01/1990",-1864719000000
"12/01/1991",-2139580000000
"12/01/1992",-2492397000000
"12/01/1993",-2752257000000
"12/01/1994",-2940564000000
"12/01/1995",-3136921000000
"12/01/1996",-3303062000000
"12/01/1997",-3307653000000
"12/01/1998",-3293763000000
"12/01/1999",-3132035000000
"12/01/2000",-2938176000000
"12/01/2001",-2945803000000
"12/01/2002",-3174431000000
"12/01/2003",-3617629000000
"12/01/2004",-3979672000000
"12/01/2005",-4260163000000
"12/01/2006",-4363944000000
"12/01/2007",-4559266000000
"12/01/2008",-5107760000000
"12/01/2009",-6471646000000
"12/01/2010",-7768785000000
"12/01/2011",-9027709000000
"12/01/2012",-10177501000000
"12/01/2013",-10734778000000
"12/01/2014",-11447164000000
"12/01/2015",-11982343000000
"12/01/2016",-12568234000000
"12/01/2017",-12885455000000
"12/01/2018",-13740376000000
"12/01/2019",-14800441000000
"12/01/2020",-17788669000000
"12/01/2021",-19850307000000
"12/01/2022",-20634065000000
"12/01/2023",-22772484000000
"12/01/2024",-24330114000000
"12/01/2025",-25298595000000
