"Year","Group","Unit","Inflation Deflator","Real Total Wealth","Real Wealth Share","Real Wealth Per Unit Growth","Real Wealth Per Unit","Real Wealth Threshold"
"1976","Middle 40%","adult_equal_split","0.2205916391666667","26508.59289992426","Infinity","0","0.00046081800751353324","26508.59289992426"
"1977","Middle 40%","adult_equal_split","0.23426649666666668","26726.832353825946","Infinity","-0.012272192749759795","0.0004551627601027669","26726.832353825946"
"1978","Middle 40%","adult_equal_split","0.2506924841666667","27624.409062392966","Infinity","0.00010003257697661638","0.00046086410432634206","27624.409062392966"
"1979","Middle 40%","adult_equal_split","0.2715846258333333","29555.214773344283","Infinity","0.048575136831371137","0.0004832023052828629","29555.214773344283"
"1980","Middle 40%","adult_equal_split","0.29615686333333335","30550.82747852844","Infinity","0.06299487069640165","0.0004898471783114217","30550.82747852844"
"1981","Middle 40%","adult_equal_split","0.3241760308333333","31754.213576215716","Infinity","0.08530969433146154","0.000500130250876946","31754.213576215716"
"1982","Middle 40%","adult_equal_split","0.34419751083333333","34300.26751257272","Infinity","0.15324420013636256","0.000531435694483377","34300.26751257272"
"1983","Middle 40%","adult_equal_split","0.3575996975","37166.26858145236","Infinity","0.23023215125256385","0.0005669131287192941","37166.26858145236"
"1984","Middle 40%","adult_equal_split","0.370541155","38455.45702864365","Infinity","0.25459758406588123","0.0005781411589205319","38455.45702864365"
"1985","Middle 40%","adult_equal_split","0.38227347750000007","41159.27130961093","Infinity","0.3252605103876837","0.0006107039078332206","41159.27130961093"
"1986","Middle 40%","adult_equal_split","0.38998908250000003","45816.328908996045","Infinity","0.4574524727793366","0.0006716203445518459","45816.328908996045"
"1987","Middle 40%","adult_equal_split","0.39962277416666664","49163.80648704802","Infinity","0.5468367151570115","0.0007128102130274329","49163.80648704802"
"1988","Middle 40%","adult_equal_split","0.41371134000000004","47737.749512135626","Infinity","0.48610639950148365","0.0006848245899713845","47737.749512135626"
"1989","Middle 40%","adult_equal_split","0.4299605808333333","47705.50940839801","Infinity","0.4683987209585422","0.000676664572827536","47705.50940839801"
"1990","Middle 40%","adult_equal_split","0.4460894508333333","46878.68793080392","Infinity","0.4227650085315892","0.0006556357363915021","46878.68793080392"
"1991","Middle 40%","adult_equal_split","0.4611464708333333","47293.25508354235","Infinity","0.41392705906338845","0.0006515630501270605","47293.25508354235"
"1992","Middle 40%","adult_equal_split","0.4716432899999999","47026.25737561487","Infinity","0.3868762224692841","0.0006390975375061912","47026.25737561487"
"1993","Middle 40%","adult_equal_split","0.4828321675","45567.44523831081","Infinity","0.3280906030838617","0.0006120080655105519","45567.44523831081"
