"Year","Group","Unit","Inflation Deflator","Real Total Wealth","Real Wealth Share","Real Wealth Per Unit Growth","Real Wealth Per Unit","Real Wealth Threshold"
"1976","Top 0.00001%","adult_equal_split","0.21837169166666667","23028482053.74023","0.0011179295056202166","0","1601282913.2241192","792698319.1527691"
"1977","Top 0.00001%","adult_equal_split","0.23190893666666668","22159498072.725956","0.0010410034235990896","-0.05730528182089742","1509520944.6068234","806432712.8173739"
"1978","Top 0.00001%","adult_equal_split","0.24816961750000002","18806515494.695137","0.000847080254432981","-0.2162453242079333","1255012970.5053456","801434202.0040569"
"1979","Top 0.00001%","adult_equal_split","0.2688515116666667","29647097694.826336","0.0012579383868573347","0.21079044285384355","1938818047.6369243","930537009.1132126"
"1980","Top 0.00001%","adult_equal_split","0.293176465","30431131243.995087","0.0012302334259502899","0.21884267576270106","1951711950.6071787","941928871.2509532"
"1981","Top 0.00001%","adult_equal_split","0.3209136541666667","24217690987.128475","0.0009558798341398841","-0.04718975579650674","1525718763.587954","1058850423.6926125"
"1982","Top 0.00001%","adult_equal_split","0.34073364500000003","28197114878.785633","0.0010922522768132214","0.09131420783819877","1747502793.9700227","1446525584.8080997"
"1983","Top 0.00001%","adult_equal_split","0.35400096166666667","35460273785.547104","0.001287947202868532","0.351143760145047","2163563416.4296517","1452547194.845825"
"1984","Top 0.00001%","adult_equal_split","0.36681218","37572328357.05775","0.0013255664788820332","0.41102900944681864","2259456642.890745","1620867401.4963253"
"1985","Top 0.00001%","adult_equal_split","0.37842643333333337","33420724952.921436","0.0010959612506298952","0.23871332618456692","1983530483.602362","1424918636.7234924"
"1986","Top 0.00001%","adult_equal_split","0.38606439333333337","44270711369.00129","0.001312313686612595","0.6211081074097231","2595852712.8842797","1624075298.3332746"
"1987","Top 0.00001%","adult_equal_split","0.39560113916666667","62012163058.61118","0.001692002794287468","1.2459351658478126","3596377605.281281","2312959957.4303956"
"1988","Top 0.00001%","adult_equal_split","0.4095479216666667","65251206645.44433","0.001741374317183559","1.3382873162130835","3744259525.6606936","2651773323.9686723"
"1989","Top 0.00001%","adult_equal_split","0.42563363416666666","63683564873.415405","0.0016105296577334685","1.2564420780148087","3613202144.205038","2833156669.902642"
"1990","Top 0.00001%","adult_equal_split","0.4416001958333333","62667958434.404366","0.0015828945078517503","1.1893976020931114","3505844970.4855585","2879005333.433635"
"1991","Top 0.00001%","adult_equal_split","0.45650568333333325","80929886283.0333","0.0019980058481388276","1.7852109452442744","4459910696.344454","3406700477.6547623"
"1992","Top 0.00001%","adult_equal_split","0.46689687333333335","102069785845.01897","0.002465415059199028","2.4651006436694503","5548606453.309788","4877880908.043037"
"1993","Top 0.00001%","adult_equal_split","0.47797314416666664","105848623756.82796","0.0024465856674614314","2.55123655825099","5686534421.544141","5085885719.617724"
"1994","Top 0.00001%","adult_equal_split","0.4881744608333334","105027108932.82182","0.0023742435003535427","2.4837656372525534","5578494388.609849","4470525214.051"
"1995","Top 0.00001%","adult_equal_split","0.4984241983333333","129821940381.84123","0.002791469318384615","3.257296501024509","6817136143.619375","4366938445.839757"
"1996","Top 0.00001%","adult_equal_split","0.5075365199999999","159569198780.95737","0.003213413166368614","4.1721735234302635","8282113087.29907","4428576531.849455"
"1997","Top 0.00001%","adult_equal_split","0.5162951341666666","239903090040.02185","0.0044666585813713695","6.6802078742923445","12298185639.113665","5920111518.697343"
"1998","Top 0.00001%","adult_equal_split","0.5220938875","369087948441.219","0.0061746701456963544","10.673690648542863","18692881369.77587","9064565475.952435"
"1999","Top 0.00001%","adult_equal_split","0.5294749441666666","551603183842.7494","0.008552195081266548","16.223655243191633","27579944844.185776","16110282555.508286"
"2000","Top 0.00001%","adult_equal_split","0.541474525","548055368703.772","0.007889476269755202","15.899036029996662","27060137644.792408","17150787596.533022"
"2001","Top 0.00001%","adult_equal_split","0.5536975175","481711168981.13947","0.007235916757564893","13.675447935082895","23499544022.35842","14471890196.90158"
"2002","Top 0.00001%","adult_equal_split","0.5622923216666668","421254848859.4051","0.006358964994149013","11.690761429762956","20321499433.283115","11751880461.366714"
"2003","Top 0.00001%","adult_equal_split","0.5733574091666666","398809552918.1892","0.00588753571413032","10.884291045595978","19030112187.09524","10567515447.34406"
"2004","Top 0.00001%","adult_equal_split","0.5887729533333333","425265493663.4317","0.00557280758797046","11.527947041452046","20060787535.25382","10848654909.396854"
"2005","Top 0.00001%","adult_equal_split","0.6072489033333333","398193803764.1353","0.00482584453817184","10.593843075208559","18565022814.933243","11182585126.47104"
"2006","Top 0.00001%","adult_equal_split","0.625996645","407028316907.52826","0.004642385141439208","10.714459393645434","18758163664.70221","12673420462.979958"
"2007","Top 0.00001%","adult_equal_split","0.6429479325","463956709587.1504","0.00514146865401795","12.204167236008946","21143607378.37487","13454527749.817078"
"2008","Top 0.00001%","adult_equal_split","0.6553887366666666","447206582028.7714","0.005502033020192781","11.584352867440916","20151109220.61609","12640611034.167658"
"2009","Top 0.00001%","adult_equal_split","0.6594022766666667","386740743799.4239","0.005381223416561654","9.757141539519548","17225226942.366047","11079278208.385233"
"2010","Top 0.00001%","adult_equal_split","0.6673939191666666","456978833242.2692","0.006066283624430112","11.562560720247006","20116213827.672016","13296218222.389162"
"2011","Top 0.00001%","adult_equal_split","0.6811675591666667","482969151428.5449","0.006202635534225295","12.122372582537965","21012630997.3787","14994851127.845366"
"2012","Top 0.00001%","adult_equal_split","0.69386525","548950166868.78906","0.006806489527673033","13.747825789765859","23615441444.35807","15409399265.032808"
"2013","Top 0.00001%","adult_equal_split","0.7056582133333333","662255208244.0292","0.00755475136029406","16.605036300852365","28190643815.245247","20002646196.342693"
"2014","Top 0.00001%","adult_equal_split","0.7179388841666666","732886962572.1216","0.007669459598247999","18.278840951457955","30870878602.33504","22130472701.40662"
"2015","Top 0.00001%","adult_equal_split","0.7246255916666667","754537110238.9443","0.007563451662713138","18.651354938092123","31467378884.069336","22470298893.664066"
"2016","Top 0.00001%","adult_equal_split","0.7315003191666668","790748549571.7959","0.007621419710644862","19.402545550487933","32670247576.27311","23509483482.745792"
"2017","Top 0.00001%","adult_equal_split","0.7445852116666666","906945119710.5978","0.008196344430703396","22.20553032479954","37158619201.40564","26189894332.83113"
"2018","Top 0.00001%","adult_equal_split","0.7616575308333334","1009261381937.921","0.00872201770062009","24.6276542147543","41037124800.10214","28602028313.92133"
"2019","Top 0.00001%","adult_equal_split","0.7742174766666666","1032754028758.1743","0.008584015332375548","25.030256091250976","41681804305.768234","31669046756.86525"
"2020","Top 0.00001%","adult_equal_split","0.7845490966666667","1238124442103.1301","0.009832241469161647","30.039711652459644","49703359900.48722","37472755728.050995"
"2021","Top 0.00001%","adult_equal_split","0.8202500141666667","1698644802739.389","0.011322881024487941","41.323211443574245","67771435317.36694","37401341729.25176"
"2022","Top 0.00001%","adult_equal_split","0.8787456741666667","1503143974421.389","0.010458005573021439","36.111844125550036","59426561876.48018","34418072593.084885"
"2023","Top 0.00001%","adult_equal_split","0.9112819583333335","1542015137682.5046","0.010795937869687924","36.618018550556386","60237090334.35388","34491166405.61703"
"2024","Top 0.00001%","adult_equal_split","0.9339184658333335","1974290873559.9355","0.012729122265454218","46.632747317320266","76273504389.14694","47400178129.68661"
"2025","Top 0.00001%","adult_equal_split","0.9603376575000001","2503622560880.269","0.015449318210371266","59.075857463513564","96198444053.61194","58030159529.91931"
